1554 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1601 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1665 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1728 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2067 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2130 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2194 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2241 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2578 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2625 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2689 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
2752 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3075 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3089 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3138 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3152 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3202 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3216 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3586 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
3600 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
46 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
60 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
270 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
284 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
294 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
298 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
308 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
312 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
1046 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
1050 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
1068 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
1074 ... X ... 3342 <- 1807 <- 1597 with probability 0.0026520865503698583, 5 rounds
