270 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
270 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
284 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
293 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
294 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
297 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
298 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
300 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 3056 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 3952 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 3568 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 3824 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 4016 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 4064 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 4048 with probability 0.003906250000000001, 4 rounds
300 ... X ... 3792 <- 2032 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
308 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 1807 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3853 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3599 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3851 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3847 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 2831 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3854 with probability 0.003906250000000001, 4 rounds
312 ... X ... 3342 <- 3343 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
332 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
356 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
360 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
396 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
420 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
424 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
449 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
556 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 3056 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 3952 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 3568 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 3824 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 4016 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 4064 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 4048 with probability 0.003906250000000001, 4 rounds
579 ... X ... 3792 <- 2032 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
581 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 127 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 191 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 223 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 239 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 247 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 251 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 253 with probability 0.003906250000000001, 4 rounds
585 ... X ... 237 <- 254 with probability 0.003906250000000001, 4 rounds
593 ... X ... 3792 <- 3056 with probability 0.003906250000000001, 4 rounds
593 ... X ... 3792 <- 3952 with probability 0.003906250000000001, 4 rounds
593 ... X ... 3792 <- 3568 with probability 0.003906250000000001, 4 rounds
593 ... X ... 3792 <- 3824 with probability 0.003906250000000001, 4 rounds
